Name,Insurance Number,Reporting Date,Assets,Shares,Liabilities,Net Worth,Revenue,Dividends,Expenses,Net Income
1st Gateway,63124,12/31/2020,178099569,150653062,159442160,18657409,8497512,1830298,5548099,1105000
5 Star Community,64878,12/31/2020,44434133,40731006,40889394,3473451,1809930,160903,1538830,106570
ACE,64323,12/31/2020,8063468,6823775,6829185,1234283,149966,32351,110370,7245
Advantage,64030,12/31/2020,86834947,73622313,74474128,12360819,3756826,322814,3810353,-378006
Aegis,65521,12/31/2020,23434705,20412238,20973944,2460761,1160198,116421,839694,204083
Affinity,62829,12/31/2020,130856389,115039418,118449501,12406888,8869829,587391,7441157,843916
AIM,64886,12/31/2020,152417916,134283947,134692402,17725514,6772779,882580,4694875,1195324
Allen Hospital Personnel,67831,12/31/2020,6040192,5085866,5109202,930990,293131,4313,291349,-2531
Ascentra,63268,12/31/2020,495382722,427221614,447912079,47095869,26014183,2970075,22142940,882488
Burlington Municipal Employees,65239,12/31/2020,5222541,4729919,4747358,475183,178319,52885,116026,9408
Capitol View,62878,12/31/2020,40889435,34775459,34907836,5981599,1624349,222222,1280220,125540
Casebine Community,64868,12/31/2020,31367009,25914476,26088068,5279167,1542243,34994,1383324,122812
Cedar Falls Community,65565,12/31/2020,148199116,125414082,126479264,23167697,6472534,1347869,3704720,1419945
CENT,65238,12/31/2020,65259551,57085264,57417622,7841929,3389344,361201,2637692,400000
Chicago Central and Commerce,62871,12/31/2020,7243382,5726080,5791593,1451789,325807,48158,267081,0
Citizens Community,66592,12/31/2020,224394096,189392596,191457674,32936422,12524694,1338745,10422780,811169
Collins Community,62969,12/31/2020,1326760185,1170533584,1216901013,108739806,67747879,12549055,60752247,4998966
Community 1st,68510,12/31/2020,845738423,760872145,777700245,68038178,42055008,7147736,30819912,4082794
Community Choice,65078,12/31/2020,670991199,570531808,599853913,71137286,38083713,2702012,29135788,5960190
Davenport Police Department,61691,12/31/2020,4585374,3978978,3987948,597426,124556,24285,93857,6414
