State,Program,Service Category,Notes,Total Computable,Federal Share,Federal Share Medicaid,Federal Share ARRA,Federal Share BIPP,State Share,Year,Location
Northern Mariana Islands,Medical Assistance Program,C-Laboratory/Radiological Services,,44731,44330,44330,0,0,401,2016,"Northern Mariana Islands
(15.1834, 145.725693)"
Washington,Administration,Approved MMIS: Private,,47838955,35879217,,,,11959738,2016,"Washington
(47.517368, -120.467672)"
South Dakota,Medical Assistance Program,T-Nursing Facility Services - Reg. Payments,,0,0,0,0,0,0,2016,"South Dakota
(44.35371, -100.373709)"
Kansas,Administration,TPL - Recovery,,0,0,,,,0,2016,"Kansas
(38.345528, -98.201847)"
Florida,Medical Assistance Program,T-Medicaid - Coinsurance,,0,0,0,0,0,0,2016,"Florida
(28.915325, -81.922409)"
North Dakota,Medical Assistance Program,T-All-Inclusive Care Elderly,,0,0,0,0,0,0,2016,"North Dakota
(47.475879, -100.121011)"
Mississippi,Administration,TANF Secondary 75%,,0,0,,,,0,2016,"Mississippi
(32.738663, -89.537312)"
Washington,Medical Assistance Program,T-Total Net Expenditures,,0,76463836,0,0,0,-76463836,2016,"Washington
(47.517368, -120.467672)"
Ohio,Administration,Nurse Aide Training Costs,,220069,110036,,,,110033,2016,"Ohio
(40.056807, -82.405897)"
Maine,Medical Assistance Program,"MCO PIHP - Preventive Services Grade A OR B, ACIP Vaccines and their Admin",,0,0,0,0,0,0,2016,"Maine
(45.252223, -68.986647)"
South Carolina,Medical Assistance Program,Inpatient Hospital - GME Payments,,69040404,49073919,49073919,0,0,19966485,2016,"South Carolina
(34.009286, -81.037094)"
Utah,Medical Assistance Program,C-MCO - State Sidebar Agreement,,0,0,0,0,0,0,2016,"Utah
(39.359772, -111.584173)"
West Virginia,Medical Assistance Program,T-Primary Care Case Management,,0,0,0,0,0,0,2016,"West Virginia
(38.668501, -80.709421)"
Virgin Islands,Medical Assistance Program,T-Federally-Qualified Health Center,,0,0,0,0,0,0,2016,"Virgin Islands
(18.060868, -64.840836)"
New Jersey,Medical Assistance Program,All-Inclusive Care Elderly,,47084697,23542350,23542350,0,0,23542347,2016,"New Jersey
(40.104655, -74.386686)"
American Samoa,Medical Assistance Program,Freestanding Birth Center,,0,0,0,0,0,0,2016,American Samoa
Vermont,Medical Assistance Program,Medicaid MCO - Evaluation and Management,,0,0,0,0,0,0,2016,"Vermont
(43.622479, -72.51927)"
Nevada,Medical Assistance Program,T-Outpatient Hospital Services - Sup. Payments,,0,0,0,0,0,0,2016,"Nevada
(39.491833, -117.070159)"
American Samoa,Medical Assistance Program,MCO PAHP - Vaccine codes,,0,0,0,0,0,0,2016,American Samoa
Alaska,Medical Assistance Program,Mental Health Facility - DSH,,18252486,9126244,9126244,0,0,9126242,2016,"Alaska
(64.836661, -147.738891)"
Puerto Rico,Medical Assistance Program,T-Critical Access Hospitals,,0,0,0,0,0,0,2016,"Puerto Rico
(18.215692, -66.414655)"
Northern Mariana Islands,Administration,HIT: Implementation and Operation: Cost of In-house Activities,,121903,109712,,,,12191,2016,"Northern Mariana Islands
(15.1834, 145.725693)"
Vermont,Medical Assistance Program,T-Dental Services,,0,0,0,0,0,0,2016,"Vermont
(43.622479, -72.51927)"
Guam,Administration,External Review,,0,0,,,,0,2016,"Guam
(13.3532, 144.653198)"
Hawaii,Administration,County/Local ADM Costs,,0,0,,,,0,2016,"Hawaii
(21.30992, -157.858158)"
Hawaii,Administration,Drug Use Review,,0,0,,,,0,2016,"Hawaii
(21.30992, -157.858158)"
American Samoa,Administration,Enrollment Brokers,,0,0,,,,0,2016,American Samoa
Oklahoma,Administration,CVT Development CHIPRA,,0,0,,,,0,2016,"Oklahoma
(35.468494, -97.521264)"
Georgia,Administration,Drug Use Review,,0,0,,,,0,2016,"Georgia
(32.836038, -83.631709)"
Idaho,Medical Assistance Program,T-Medicare - Part B,,0,0,0,0,0,0,2016,"Idaho
(43.680635, -114.364237)"
Maine,Administration,Collections,,0,0,,,,0,2016,"Maine
(45.252223, -68.986647)"
South Dakota,Administration,TANF Secondary 75%,,0,0,,,,0,2016,"South Dakota
(44.35371, -100.373709)"
Delaware,Administration,Collections,,0,0,,,,0,2016,"Delaware
(39.008676, -75.574561)"
Guam,Administration,Nurse Aide Training Costs,,0,0,,,,0,2016,"Guam
(13.3532, 144.653198)"
Kansas,Administration,Drug Use Review,,15319,7662,,,,7657,2016,"Kansas
(38.345528, -98.201847)"
Iowa,Administration,TANF Secondary 75%,,0,0,,,,0,2016,"Iowa
(42.46942, -93.815856)"
American Samoa,Administration,Mechanized Systems: Private Sector,,0,0,,,,0,2016,American Samoa
Hawaii,Administration,TANF Base,,0,0,,,,0,2016,"Hawaii
(21.30992, -157.858158)"
Maryland,Administration,CVT Operation CHIPRA,,0,0,,,,0,2016,"Maryland
(39.290443, -76.612333)"
American Samoa,Administration,Drug Use Review,,0,0,,,,0,2016,American Samoa
Vermont,Administration,Enrollment Brokers,,0,0,,,,0,2016,"Vermont
(43.622479, -72.51927)"
South Carolina,Administration,TPL - Recovery,,0,0,,,,0,2016,"South Carolina
(34.009286, -81.037094)"
Guam,Administration,Peer Review Organizations,,0,0,,,,0,2016,"Guam
(13.3532, 144.653198)"
Nebraska,Administration,Immigration Status,,0,0,,,,0,2016,"Nebraska
(41.640503, -99.367122)"
Illinois,Administration,Collections,,0,0,,,,0,2016,"Illinois
(40.477092, -88.993221)"
Minnesota,Administration,Drug Use Review,,0,0,,,,0,2016,"Minnesota
(46.357661, -94.793397)"
Delaware,Administration,External Review,,1938766,1454075,,,,484691,2016,"Delaware
(39.008676, -75.574561)"
Georgia,Administration,CVT Operation CHIPRA,,0,0,,,,0,2016,"Georgia
(32.836038, -83.631709)"
New York,Administration,Family Planning,,19253946,17328552,,,,1925394,2016,"New York
(42.826892, -75.544286)"
Delaware,Administration,Enrollment Brokers,,0,0,,,,0,2016,"Delaware
(39.008676, -75.574561)"
Indiana,Administration,TANF Secondary 75%,,0,0,,,,0,2016,"Indiana
(39.76845, -86.156212)"
Arizona,Administration,TPL - Recovery,,0,0,,,,0,2016,"Arizona
(34.869712, -111.760902)"
Guam,Administration,Approved MMIS: Inhouse,,0,0,,,,0,2016,"Guam
(13.3532, 144.653198)"
Texas,Administration,TANF Secondary 75%,,0,0,,,,0,2016,"Texas
(31.827233, -99.423022)"
Vermont,Administration,TPL - Recovery,,0,0,,,,0,2016,"Vermont
(43.622479, -72.51927)"
Alaska,Administration,TANF Secondary 90%,,0,0,,,,0,2016,"Alaska
(64.836661, -147.738891)"
New York,Administration,MMIS - Inhouse Activities,,18240188,16374695,,,,1865493,2016,"New York
(42.826892, -75.544286)"
Nevada,Medical Assistance Program,C-Hospice,,0,0,0,0,0,0,2016,"Nevada
(39.491833, -117.070159)"
Iowa,Medical Assistance Program,Medicaid MCO - Vaccine codes,,0,0,0,0,0,0,2016,"Iowa
(42.46942, -93.815856)"
Iowa,Administration,MMIS - Private Sector,,725814,653234,,,,72580,2016,"Iowa
(42.46942, -93.815856)"
Kentucky,Administration,Eligibility Determination Staff – Cost of In-house Activities,,21646773,16235082,,,,5411691,2016,"Kentucky
(37.64591, -84.774043)"
Delaware,Medical Assistance Program,C-Case Management,,0,0,0,0,0,0,2016,"Delaware
(39.008676, -75.574561)"
Colorado,Administration,Mechanized Systems - Not Approved under MMIS Procedures: Interagency,,0,0,,,,0,2016,"Colorado
(38.841772, -106.132562)"
Puerto Rico,Medical Assistance Program,Drug Rebate Offset - National,,0,0,0,0,0,0,2016,"Puerto Rico
(18.215692, -66.414655)"
Kentucky,Medical Assistance Program,Primary Care Case Management,,2706,2809,2809,0,0,-103,2016,"Kentucky
(37.64591, -84.774043)"
Maine,Medical Assistance Program,Prepaid Inpatient Health Plan,,0,0,0,0,0,0,2016,"Maine
(45.252223, -68.986647)"
Washington,Medical Assistance Program,"T-Preventive Services Grade A OR B, ACIP Vaccines and their Admin",,0,0,0,0,0,0,2016,"Washington
(47.517368, -120.467672)"
Michigan,Administration,Peer Review Organizations,,-10888172,-8166128,,,,-2722044,2016,"Michigan
(44.66399, -84.711206)"
Texas,Medical Assistance Program,Personal Care Services - Reg. Payments,,806519320,464981106,462216777,0,2764329,341538214,2016,"Texas
(31.827233, -99.423022)"
Indiana,Medical Assistance Program,"T-Medicaid MCO - Preventive Services Grade A OR B, ACIP Vaccines and their Admin",,0,0,0,0,0,0,2016,"Indiana
(39.76845, -86.156212)"
Ohio,Medical Assistance Program,T-Medicaid - Coinsurance,,0,0,0,0,0,0,2016,"Ohio
(40.056807, -82.405897)"
Missouri,Medical Assistance Program,Inpatient Hospital - Sup. Payments,,0,0,0,0,0,0,2016,"Missouri
(38.636168, -92.566292)"
New York,Medical Assistance Program,C-Screening Services,,4802535,4226231,4226231,0,0,576304,2016,"New York
(42.826892, -75.544286)"
North Carolina,Medical Assistance Program,Emergency Services for Undocumented Aliens,,25527426,17018646,17018646,0,0,8508780,2016,"North Carolina
(35.47995, -79.180571)"
Louisiana,Medical Assistance Program,T-School Based Services,,0,0,0,0,0,0,2016,"Louisiana
(31.2931, -92.463284)"
Illinois,Medical Assistance Program,C-Case Management,,1919586,1703275,1703275,0,0,216311,2016,"Illinois
(40.477092, -88.993221)"
Wisconsin,Administration,Operation of an Approved Medicaid Eligibility Determination Sys. – Cost of Private Sec. Contractors,,18033802,13525357,,,,4508445,2016,"Wisconsin
(44.395526, -89.834513)"
Alaska,Medical Assistance Program,T-MCO - State Sidebar Agreement,,0,0,0,0,0,0,2016,"Alaska
(64.836661, -147.738891)"
Rhode Island,Medical Assistance Program,T-Inpatient Hospital - DSH,,0,0,0,0,0,0,2016,"Rhode Island
(41.707447, -71.522488)"
Delaware,Medical Assistance Program,64.21U Adjustments,,0,0,0,0,0,0,2016,"Delaware
(39.008676, -75.574561)"
Illinois,Medical Assistance Program,Other Practitioners Services - Reg. Payments,,91206573,47611922,47611927,-5,0,43594651,2016,"Illinois
(40.477092, -88.993221)"
Alaska,Medical Assistance Program,Outpatient Hospital Services - Sup. Payments,,0,0,0,0,0,0,2016,"Alaska
(64.836661, -147.738891)"
Iowa,Medical Assistance Program,T-Nurse Mid-Wife,,0,0,0,0,0,0,2016,"Iowa
(42.46942, -93.815856)"
Connecticut,Medical Assistance Program,C-Collections,,0,0,0,0,0,0,2016,"Connecticut
(41.544654, -72.651713)"
Virginia,Medical Assistance Program,Home Health Services,,2260563,1145317,1145317,0,0,1115246,2016,"Virginia
(37.542699, -78.45822)"
Oregon,Medical Assistance Program,C-Home and Community-Based Services - Regular Payment (WAIVER),,0,0,0,0,0,0,2016,"Oregon
(44.567912, -120.156945)"
Montana,Administration,Citizenship Verification Technology CHIPRA,,0,0,,,,0,2016,"Montana
(47.062617, -109.430168)"
Georgia,Medical Assistance Program,T-Rehabilitative Services (non-school-based),,0,0,0,0,0,0,2016,"Georgia
(32.836038, -83.631709)"
Kentucky,Medical Assistance Program,T-Medicare - Part B,,0,0,0,0,0,0,2016,"Kentucky
(37.64591, -84.774043)"
New Mexico,Administration,Approved MMIS: Inhouse,,2717288,2037975,,,,679313,2016,"New Mexico
(34.520396, -106.244402)"
Oregon,Medical Assistance Program,Physician & Surgical Services - Vaccine codes,,0,0,0,0,0,0,2016,"Oregon
(44.567912, -120.156945)"
Pennsylvania,Medical Assistance Program,C-Collections,,0,0,0,0,0,0,2016,"Pennsylvania
(40.789676, -77.858055)"
Colorado,Administration,Approved MMIS: Inhouse,,2937718,1927942,,,,1009776,2016,"Colorado
(38.841772, -106.132562)"
New York,Medical Assistance Program,T-Mental Health Facility - DSH,,0,0,0,0,0,0,2016,"New York
(42.826892, -75.544286)"
Texas,Administration,Recovery Audit Contractors Contigency Fee,,0,0,,,,0,2016,"Texas
(31.827233, -99.423022)"
North Carolina,Medical Assistance Program,T-Inpatient Hospital - GME Payments,,0,0,0,0,0,0,2016,"North Carolina
(35.47995, -79.180571)"
South Dakota,Administration,HIT Incentive Payments: Eligible Hospitals,,1374589,1374589,,,,0,2016,"South Dakota
(44.35371, -100.373709)"
Guam,Medical Assistance Program,Physician & Surgical Services - Vaccine codes,,0,0,0,0,0,0,2016,"Guam
(13.3532, 144.653198)"
Delaware,Medical Assistance Program,T-Medicare - Part B,,0,0,0,0,0,0,2016,"Delaware
(39.008676, -75.574561)"
New York,Medical Assistance Program,Medicaid - MCO,,27487891797,15824866394,15847258680,-1738368,-20653918,11663025403,2016,"New York
(42.826892, -75.544286)"
Louisiana,Medical Assistance Program,Emergency Services for Undocumented Aliens,,0,0,0,0,0,0,2016,"Louisiana
(31.2931, -92.463284)"
Virgin Islands,Medical Assistance Program,Sterilizations,,7108,3973,3973,0,0,3135,2016,"Virgin Islands
(18.060868, -64.840836)"
